zgbh,icid
1332026   ,0973956779
1333129   ,0872886699
1333730   ,3535359358
1333987   ,3536949006
1334421   ,0762004826
1334579   ,2675495035
1334593   ,3532304830
1334611   ,1780146411
1334644   ,0873849931
1334708   ,1786763723
1334834   ,4136000062
1334835   ,2677623915
1334884   ,4134777902
1335075   ,0867749563
1335210   ,0875082459
1335370   ,0873637675
1335519   ,2051012480
1335705   ,0978241035
1336578   ,1797911962
1336854   ,1781845499
1336886   ,0974728715
1337120   ,1788025003
1337121   ,4135830542
1337138   ,0760652154
1337149   ,2673095131
1337834   ,1324298535
1337844   ,2755272282
1337880   ,2675369611
1338164   ,1790279851
1338179   ,2673704219
1343074   ,3520667790
1343207   ,1778948091
1343338   ,0334746177
1343537   ,1790514699
1343538   ,1788307787
1344012   ,1786548587
1344361   ,1782992219
1344362   ,0967514571
1344379   ,0882092683
1344411   ,1768637819
1344622   ,3531005614
1344740   ,0480167323
1344754   ,1767204763
1345038   ,0969459323
1345087   ,0761657658
1345279   ,2676410859
1345328   ,1788210731
1345602   ,1789009147
1345638   ,3250448467
1345670   ,1789293291
1345688   ,0874241659
1345705   ,2673656459
1345959   ,1787539259
1345974   ,3531189870
1346362   ,0760552666
1346379   ,1783958875
1346426   ,0874257355
1346628   ,2674861883
1346692   ,2674197083
1346728   ,0978518603
1346760   ,0976676075
1346910   ,3739434289
1347678   ,2066367984
1347695   ,4139097870
1347763   ,0874019099
1347957   ,0969187563
1348175   ,4140278494
1348225   ,2676062699
1348226   ,2673750763
1348257   ,4135426046
1348258   ,2066031776
1348290   ,0481196315
1348293   ,1788332891
1348307   ,0312521594
1348325   ,2675937643
1348326   ,2975359921
1348340   ,0966917275
1348375   ,0868166459
1348393   ,1790179403
1348394   ,4130374766
1348407   ,0873523339
1348408   ,1764408571
1348444   ,0873636203
1348475   ,0876461227
1348476   ,1768791627
1348507   ,0761239050
1348511   ,2064161056
1348526   ,2662728715
1348575   ,2057089152
1348611   ,1578954832
1348675   ,2062651840
1348676   ,2065743728
1348811   ,2062754000
1348875   ,2063095968
1348994   ,2061939152
1349026   ,2064199040
1349161   ,2051434624
1349176   ,2065807712
1349194   ,0492061367
1349226   ,2064538192
1349229   ,2062826976
1333052   ,2675358555
1333059   ,0755518570
1333195   ,1764366507
1333416   ,1787003867
1334440   ,3287769537
1334656   ,0875321291
1334710   ,1789305467
1334721   ,2068431392
1335141   ,2673774139
1335173   ,1767009723
1335247   ,1768688891
1335272   ,1789327451
1335346   ,0972738027
1335718   ,3247418387
1335826   ,4288062782
1336502   ,0977443563
1336794   ,2675962715
1337108   ,2675147723
1337115   ,1789113787
1337126   ,3535858734
1337133   ,1780871419
1337236   ,2672622315
1337347   ,2673360571
1337874   ,1786304299
1338298   ,1786078155
