zgbh,icid
1331776   ,1769578587
1331823   ,1766463755
1331832   ,0752816970
1331849   ,2673876475
1331864   ,3933656106
1331899   ,1789254699
1331900   ,1764273819
1331917   ,0874962587
1331931   ,1789851019
1331932   ,0032839191
1332000   ,2674874587
1333175   ,0965796699
1333468   ,2663191563
1333518   ,0969643115
1333881   ,1785641195
1333932   ,2674719819
1335839   ,2676169627
1335856   ,0463774714
1335889   ,3532348558
1335920   ,1783492715
1335938   ,1787272507
1335939   ,0866346043
1313796   ,4129544942
1316078   ,0673290797
1317670   ,4135637790
1317755   ,4139699614
1317756   ,4139281918
1318705   ,2672771707
1319460   ,1787904763
1319639   ,0968609723
1319918   ,3246489347
1319968   ,3545486965
1336126   ,1786033531
1337139   ,0972592539
1337929   ,2674555675
1337930   ,1781447739
1337944   ,0874969099
1337947   ,1761975195
1337961   ,1578731376
1337962   ,2057053952
1337979   ,0969204395
1337980   ,2675978299
1337994   ,1789848491
1337997   ,2061699616
1337998   ,1766556491
1338011   ,1781541067
1338012   ,1787244267
1338029   ,0869304443
1338030   ,1786658715
1338044   ,4287319326
1338047   ,2676017339
1338048   ,0966914411
1338061   ,1058080423
1338062   ,0965518939
1338079   ,2670186267
1338080   ,2676529579
1338097   ,0869306955
1338098   ,2674502955
1338110   ,1787563499
1338111   ,1785921659
1338114   ,1787323035
1338128   ,1786512107
1338129   ,2675456283
1338146   ,1781656763
1338147   ,1786510571
1338160   ,2066496080
1338161   ,2058469232
1338164   ,1790279851
1338178   ,1768069051
1338179   ,2673704219
1338196   ,1767609963
1338197   ,0880978859
1338211   ,2066425872
1338214   ,2061518432
1338228   ,2064496704
1338229   ,2065949104
1338246   ,1727476858
1338247   ,1770659307
1338261   ,2064260096
1338264   ,2068809936
1338278   ,2066009696
1338279   ,2062572368
1338296   ,1789907787
1338297   ,2669999467
1338311   ,1782036891
1338314   ,1788780539
1338328   ,1786999179
1338329   ,1788945499
1338346   ,4137769838
1338347   ,3247959955
1338361   ,1787677371
1338364   ,1786336587
1338378   ,2062776736
1338379   ,4287132894
1338396   ,1786042859
1338397   ,1787598107
1338411   ,0258374218
1338414   ,4129542542
1338428   ,1787122811
1338429   ,1789226619
1338446   ,1788068571
1338447   ,1790358251
1338461   ,          
1338464   ,0865841211
1331802   ,1787377147
1331904   ,4129771310
1331929   ,0873311675
1331938   ,1768289819
1333359   ,3740512267
1333793   ,0258915162
1333991   ,3302241066
1335038   ,1783165819
1335850   ,0034499121
1335857   ,1779165947
1335859   ,3530663518
1335893   ,0874141835
1335948   ,1787935787
1336086   ,0872710155
1316540   ,4130885534
1317270   ,1785042203
1317744   ,4137919214
1318667   ,4138003662
1319955   ,4129124638
7514      ,0777936101
757130    ,1812444170
1337916   ,2069950896
1337918   ,2673608955
1337941   ,0485346971
1337943   ,0867181051
1337948   ,0873221723
1337950   ,2674708075
1337952   ,2420684970
1337973   ,2065391088
1337975   ,1788774059
1337977   ,2674738603
1337982   ,3530649870
1337984   ,0967864779
1338007   ,0312439322
1338009   ,1787865611
1338016   ,0874082059
1338018   ,0256952090
1338041   ,1768321435
1338043   ,2673417323
1338050   ,2673690427
1338052   ,4140380398
1338075   ,3531934478
1338077   ,4135977902
1338082   ,0761055834
1338084   ,1790164971
1338108   ,1786808619
1338115   ,1786196635
1338117   ,2675642555
1338140   ,1785888571
1338142   ,1786339819
1338149   ,1787523179
