zgbh,icid
1336918   ,1789061979
1336957   ,1782989723
1336968   ,1766503275
1336975   ,1788809563
1336982   ,1789685211
1337000   ,1779399963
1337074   ,2674188395
1337099   ,2676090731
1337145   ,0874318059
1337163   ,1768197947
1337195   ,0972027035
1337206   ,3544097253
1337213   ,0967640667
1337238   ,3742727441
1337263   ,1125165230
1337288   ,3730469326
1337313   ,2675184971
1337338   ,1769476875
1337345   ,2674330667
1337360   ,0968921899
1337371   ,1789756187
1337378   ,2673889099
1337385   ,1765650619
1337463   ,1655666485
1337477   ,0750988458
1337488   ,0870180379
1337513   ,1767151739
1337538   ,1790380955
1337588   ,1324571559
1337602   ,1766772971
1337613   ,4134351566
1337620   ,0762442170
1337631   ,2672282427
1337681   ,2674957659
1337720   ,3071477595
1337731   ,1782976331
1337738   ,1785864043
1337745   ,2674453339
1337770   ,2676657739
1312494   ,1782859419
1313051   ,3741772353
1313608   ,2673138091
1315504   ,3504780506
1316169   ,0983830747
1316212   ,0759978858
1317552   ,4137898446
1317734   ,4136835134
1317766   ,4136452622
1317777   ,4138997630
1317791   ,1789536251
1317802   ,4139529294
1317809   ,1788321147
1317852   ,4135143582
1318399   ,4138210910
1319059   ,2674751131
1319854   ,3537022478
1303502   ,4135380734
1305408   ,0256952522
1305465   ,1112034078
1306442   ,3251120675
1308690   ,3529313774
1332522   ,4130235166
1333031   ,0762538058
1333205   ,0974174283
1335109   ,3530538894
1335642   ,4128899470
1335655   ,0876867531
1335656   ,0877001771
1335674   ,1790256411
1335760   ,1788888235
1335775   ,3503367386
1335811   ,3503965594
1321692   ,0968589627
1321761   ,1767072091
1321812   ,0967974603
1321911   ,1769853435
1321912   ,1766489355
1322051   ,1768664651
1324811   ,0874888587
1325147   ,1767560731
1326233   ,1780615563
1327675   ,2674775435
1327693   ,1782869515
132885    ,3731464030
1328928   ,0756381242
1329377   ,2676467387
1329477   ,1786653531
1329809   ,0757512522
1329810   ,1765090011
1329860   ,0869645259
1336213   ,0977354667
1336246   ,4134997710
1336338   ,0967428219
1336339   ,3530293502
1336353   ,2138924370
1336356   ,1764068651
1336407   ,1111521502
1336439   ,1778560747
1336456   ,0967334715
1336469   ,3529222894
1336488   ,2671499419
1336548   ,0028551636
1336580   ,3532414126
1336597   ,0874515547
1336598   ,0759409610
1336612   ,3535720958
1336680   ,1766764331
1336697   ,4130591118
1336712   ,0960463125
1336747   ,0969033387
1336748   ,0968900571
1336762   ,0968320427
1336765   ,0874883915
1336779   ,0868193979
1336780   ,2673496891
1336855   ,1782289099
1336887   ,4035004273
1336920   ,1766729339
1336923   ,1790524523
1336937   ,1781881499
1336955   ,4128910686
1336956   ,1782678731
1336970   ,3531589918
1336987   ,1789279627
1337023   ,0312215818
1337055   ,1269044681
1337072   ,1765513339
1337086   ,2676339691
1337087   ,3531638606
1337105   ,1798635353
1337150   ,2673043659
1337168   ,0966776267
1337201   ,1765724171
1337233   ,4135221822
1337265   ,0967298699
1337268   ,4140279150
1337283   ,2676676427
1337300   ,3532460462
1337315   ,2676366811
1337319   ,2669722203
1337350   ,0758265066
1337351   ,0965845435
1337359   ,0874239035
1337373   ,1110535630
1337390   ,0312675786
1337391   ,0973201163
1337465   ,0968717147
1337468   ,0793658053
1337482   ,0867944779
1337483   ,2676294827
1337501   ,4138067710
1337518   ,2675327307
1337532   ,2676630395
1337550   ,1782903819
1337551   ,0760292586
1337582   ,2503239312
1337583   ,3535589358
1337632   ,2675451627
1337651   ,2065072656
1337665   ,1781997659
1337668   ,0968626619
1337682   ,1767624363
1337683   ,0870221467
1337700   ,1269435769
1332517   ,1768830203
1332734   ,0960829157
1332752   ,2755979818
1333561   ,0873810923
1333610   ,1788754203
1333660   ,1766583963
1333692   ,2946679666
1333699   ,2676330939
1333724   ,1124372478
1335195   ,2675526955
1335780   ,0968038203
1335798   ,1788633147
1321974   ,1765255147
1322119   ,1765029083
1322289   ,1766591531
1322620   ,2675396347
1322908   ,2676013371
1324063   ,2675243019
1324140   ,1784930987
1324236   ,4129810958
1324777   ,1765032571
1324974   ,0486617579
1325629   ,2675045163
1326199   ,1788016043
1326224   ,1788250091
1326591   ,1788213691
1327161   ,1788077691
1327375   ,1313761377
1329648   ,1766699419
1329705   ,3531214462
1329712   ,1765126203
1329748   ,1787271947
1330169   ,2673239115
1330669   ,1786247243
1330793   ,1787237947
1330949   ,0967052651
1331198   ,0874252123
1336308   ,0761696874
1336358   ,0977737611
1336376   ,0312351050
1336767   ,0967779067
1336785   ,4139155230
1336828   ,4134806238
1337152   ,1785982971
1337231   ,2658440004
1337256   ,1766263195
1341031   ,1790087387
1312033   ,2472373616
1312308   ,2669896539
1312586   ,1781201739
1312783   ,4134639854
1312822   ,2674069819
1312972   ,4028824801
1313196   ,0311254058
1313633   ,2975880801
1314775   ,1604808074
1315796   ,0866175723
1316749   ,3531524430
1317164   ,3503189802
1317354   ,3247792579
1318335   ,0868106187
1318616   ,0257755098
1319653   ,2673117563
1319692   ,2671478859
1319988   ,2095292937
1332505   ,2667252859
1332636   ,4131061566
1332672   ,0875290939
1332686   ,2673757659
1332703   ,4136294430
1332722   ,0969540379
1332739   ,3536145998
1332754   ,3209067634
1333562   ,0874110043
1333680   ,2676609771
1333694   ,1784389659
1335193   ,0258988314
1335194   ,1798672058
1335743   ,1767386011
1335822   ,3533851470
1321968   ,1766569227
1322301   ,1787660299
1322625   ,2676275131
1322896   ,2674769819
1323887   ,2675693675
1323919   ,4130568846
1324033   ,4139010894
1324065   ,0761283114
1324217   ,2756422634
1324962   ,0311166378
1325806   ,0873636459
1326033   ,0869145931
1326269   ,0969569931
1326431   ,2504957824
1326803   ,1782167531
1327104   ,2675321275
1327230   ,3931572362
1328160   ,1786381499
1328243   ,0869505723
1329445   ,1788084571
1329563   ,0876807019
1329660   ,1116900446
1329678   ,3528051374
1329742   ,3527863102
1331047   ,0759658026
1331311   ,2669976443
1336438   ,2975985057
1336698   ,3547396949
1336797   ,2662947323
1336815   ,1783748539
1336852   ,1781545195
1337401   ,3535493582
1337914   ,2064653088
1311936   ,1604765770
1312053   ,2465989808
1312821   ,1604208906
1313209   ,1727594858
1313244   ,0876221595
1313342   ,1782349387
1315619   ,2673028011
1315977   ,0969332059
1316175   ,0762584522
1316207   ,1604976506
1318193   ,0869017355
1318419   ,0969324299
1318636   ,0760741690
1318653   ,0761076330
1318654   ,4289291422
1332341   ,1782836731
1332520   ,1769405195
1332619   ,2673723195
1332705   ,3741793057
1332706   ,3537292142
1332720   ,1438158331
1332756   ,1788848763
1333014   ,4134997886
