zgbh,icid
1342823   ,4130483278
1342889   ,2675541947
1342898   ,0759015370
1343688   ,3284880961
1343820   ,4137272382
1343911   ,0865734219
1343920   ,4137757582
1343945   ,0759814618
1343986   ,3535948830
1344016   ,2674931819
1344139   ,1766872715
1344307   ,2673451499
1344316   ,1768642923
1344409   ,0968126523
1344576   ,1762278347
1344906   ,4131153758
1344967   ,0870021307
1344974   ,0761785418
1345008   ,2675269579
1345065   ,0967766507
1345067   ,4130235630
1345133   ,0868305419
1345326   ,4287534302
1345367   ,2673398651
1345431   ,1784710443
1345897   ,1789745323
1345939   ,2674997915
1345980   ,1783335803
1345999   ,1786438075
1346067   ,3548299205
1346192   ,2420611754
1331498   ,0869787979
1332014   ,4130894878
1332726   ,0867777771
1332783   ,3528385614
1332785   ,1348778490
1333083   ,3536920462
1333733   ,3148208818
1333758   ,2676260507
1334443   ,0971877211
1335564   ,0968341291
1335627   ,2676980619
1335629   ,2668003355
1335749   ,2062850912
1336309   ,0312000298
1336436   ,1767045531
1336503   ,3532179854
1336562   ,4136226222
1336591   ,1789269179
1336666   ,0966672635
1336734   ,0480333339
1336858   ,1785131035
1336885   ,2674434347
1336915   ,1788221963
1337146   ,1782135867
1337212   ,1767446283
1337219   ,4129368910
1337278   ,0759945130
1337287   ,2673160011
1337430   ,3251527219
1337503   ,1767369755
1337569   ,3530727182
1337671   ,2984755409
1337868   ,1896894989
1338158   ,1787292475
1338358   ,1782917467
1346525   ,1762897227
1346864   ,0968094715
1347000   ,0874760123
1347089   ,0965516315
1347098   ,1768505035
1347166   ,0869374971
1347259   ,1787007915
1347491   ,4137422190
1347493   ,0968323643
1347634   ,0973437291
1347727   ,0881882459
1347757   ,3532406510
1348219   ,0873629579
1348221   ,0866631499
1348328   ,1767876459
1348464   ,1767563355
1348528   ,0761849322
1338460   ,0967821243
1338467   ,0866179979
1338469   ,0866748811
1338492   ,0968457467
1338499   ,2673712363
1338501   ,1768559659
1338569   ,1766822763
1338601   ,1605220474
1338633   ,0866402635
1338635   ,2674886171
1338667   ,0485188539
1338701   ,0968863819
1338760   ,1800873081
1338926   ,0872888363
1339003   ,0874404763
1339092   ,0869975003
1339094   ,0873402683
1339126   ,0875041979
1339137   ,0868702091
1339160   ,0873678955
1339354   ,0874297531
1339386   ,1057698135
1339561   ,1767555963
1339588   ,0873852171
1339595   ,0874471883
1339718   ,0762190842
1339816   ,3531550478
1339980   ,1767831787
1340080   ,0873245435
1340114   ,1115328750
1340153   ,2676562923
1340189   ,0873680411
1340288   ,0865932731
1340639   ,1790018923
1340922   ,2676130875
1340931   ,2676246363
1340963   ,0874673547
1341032   ,1782882507
1342761   ,1112097390
1342779   ,3531164430
1342793   ,0486871995
1342876   ,0967701419
1342962   ,1766671835
1342994   ,4134584990
1343204   ,0969271259
1343305   ,0760346762
1343441   ,3536393406
1343852   ,0873811099
1344001   ,4135424494
1344210   ,2675492571
1344227   ,2674189307
1344296   ,3536637822
1344327   ,2676370507
1344455   ,1766682075
1344470   ,1767762747
1344670   ,2675110923
1344770   ,2674737035
1344787   ,2675670635
1344922   ,0973269019
1344939   ,1764929947
1345022   ,1604199978
1345039   ,1783572683
1345054   ,2676048859
1345072   ,0969090939
1345122   ,4136804254
1345294   ,1351974442
1345858   ,2667205515
1345958   ,0880789643
1345975   ,1788955339
1346130   ,0972538747
1332040   ,4129841502
1333545   ,2978146305
1334106   ,2663391355
1335655   ,0876867531
1335674   ,1790256411
1335811   ,3503965594
1335982   ,3529159022
1336213   ,0977354667
1336296   ,3537353214
1336456   ,2675280651
1336612   ,3535720958
1336762   ,0968320427
1336779   ,0868193979
1336887   ,4035004273
1336923   ,1790524523
1336938   ,1781050139
1337069   ,2676594795
1337086   ,2676339691
1337150   ,2673043659
1337233   ,4135221822
1337283   ,2676676427
1337373   ,1110535630
1337451   ,4288495534
1337533   ,2977078785
1337632   ,2675451627
1337846   ,0966131083
1338064   ,1779172123
1338212   ,2064518416
1338213   ,2057145232
1338244   ,1788709019
1338263   ,2062561088
1346180   ,1788511035
1346181   ,0756675450
1346315   ,2675060987
1346363   ,1784498443
1346545   ,0761181610
1346560   ,2919494417
1346594   ,4134723502
1346844   ,4136416126
1346893   ,3530423838
1346961   ,2674820699
1347011   ,0479181739
1347043   ,2675096315
1347161   ,1769796187
1347279   ,4137015662
1347411   ,1350273450
1347412   ,0968834443
1347529   ,1789823947
1347562   ,1790562363
1347992   ,0966647547
1348106   ,1781963547
1348123   ,0972333899
1348209   ,0974174283
1348260   ,0873692331
1348309   ,3503862730
1348310   ,2675021611
1348527   ,1766597851
1348895   ,2062598848
1349159   ,2062732208
1349310   ,2064528096
1349363   ,2066396192
1349378   ,2049849808
1349528   ,2624907056
1349613   ,2625666512
1349763   ,2047853104
1349781   ,2069761632
1349931   ,2067004768
1350632   ,2066954752
1350962   ,2619524432
1351012   ,4140886990
1351130   ,2675875947
1351326   ,2068919440
1351345   ,2047252816
1351917   ,2582211863
1342711   ,1762468859
1343107   ,0969483147
1343125   ,0259880330
1343126   ,1765582347
1343190   ,2675668075
1343273   ,2676184203
1343390   ,2674487995
1343391   ,0762242218
1343473   ,1767450251
1345021   ,4231753420
1345330   ,0968865467
1345345   ,1784048619
1345404   ,1578916000
1345518   ,4130622622
1345535   ,3535935678
1345553   ,1788242475
1345790   ,1784378811
1345840   ,2673124811
1345908   ,1786375803
1346080   ,3504020890
1346113   ,2675489019
1346131   ,2674475979
1346145   ,2675082347
1346148   ,3251470019
1346163   ,0969276539
1333098   ,3175101972
1333324   ,3149543394
1334155   ,2061080768
1334595   ,1768422171
1335567   ,4134416494
1336228   ,3531641950
1336407   ,0865497211
1336629   ,0760469946
1336647   ,2675093771
1337931   ,2673296923
1338078   ,1789261707
1338162   ,2671885819
1338194   ,1788390667
1338195   ,0972914955
1338344   ,2675498171
1346199   ,2674418123
1346608   ,4138676750
1346811   ,2675833771
1346825   ,1768607819
1346993   ,0969275243
1346994   ,1789644475
1347112   ,1767508923
1347144   ,1787677563
1347429   ,2674915851
1347630   ,2675619931
1347879   ,2675820235
1347912   ,2675922731
1348192   ,3529487182
1348210   ,3520787854
1348560   ,1832537508
1348574   ,2048315520
1348577   ,2065994608
1348609   ,2069667328
1348642   ,2054721488
1348677   ,0029599712
1348678   ,2066183136
1348692   ,2069221968
1348745   ,1783569099
1348759   ,2061519232
1348760   ,2070716000
1348842   ,2617858304
1348909   ,2624930560
1348942   ,1605558506
1348977   ,0873792475
1348978   ,0966656331
1349209   ,1578794784
1349213   ,2059199632
1349577   ,2069800000
1349627   ,2069395312
1349628   ,2621934080
1349645   ,2063898048
1349996   ,2059737824
1350014   ,2625762480
1350063   ,2624026048
1350113   ,0161782880
1350114   ,0161783728
1350132   ,2067882064
1350145   ,2062774368
1350146   ,2062520352
1350195   ,2062188832
1350682   ,2066501664
1350699   ,2066034208
1350880   ,2625222608
1350895   ,2066604432
1350945   ,2662945147
1350981   ,1767072091
1351031   ,1785253755
1351045   ,1727961738
1351063   ,0259713402
1351081   ,2672123243
1351098   ,1788733307
1351099   ,2676003771
1351162   ,2067848080
1351181   ,1785532059
1351247   ,2061702928
1351261   ,2064388896
1351264   ,2067669248
1351297   ,2051049776
1351314   ,2059654896
1351426   ,2048098944
1351630   ,2059569904
1351636   ,2062624256
1351637   ,2069663728
1351651   ,2065368272
1351654   ,2066108880
1351704   ,2071096800
1351935   ,2066671312
1338463   ,1789113563
1338531   ,2675668731
1338563   ,3284662577
1338812   ,0968398891
1338980   ,1125258894
1339030   ,1768447643
1339048   ,0872844299
1339080   ,0872963995
1339099   ,0873409307
1339210   ,0873735259
1339258   ,0761713258
1339272   ,0874393467
1339309   ,0872860075
1339866   ,4287573054
1340533   ,0965326747
1340673   ,1789290203
1340727   ,1769281883
1340740   ,0968412379
1340741   ,0759297690
1340809   ,3934224778
1341079   ,0874295067
1321695   ,0967951995
1321712   ,1768013755
1342989   ,3302993962
1343087   ,2675997147
1343293   ,1787148091
1343461   ,0967752219
1344048   ,3930900762
1344050   ,1761937130
1344510   ,0967455035
1345531   ,2674609531
1345640   ,3530462974
1345729   ,0979656523
1345971   ,0874304363
1345973   ,1766970251
1345992   ,2675974459
1346060   ,1765903659
1346069   ,1782152091
1346126   ,2669804523
1346135   ,2672184315
1346203   ,1789368187
1333440   ,2676378747
1333567   ,0873291579
1334185   ,2675804507
1334194   ,1789612523
1334196   ,0759850442
1334928   ,4136902382
1335129   ,1770186811
1336207   ,0312709626
1336214   ,2669867387
1336241   ,2673106683
1337091   ,1789281739
1338156   ,1782401115
1338233   ,4136753742
1346623   ,4137972750
1346630   ,3537253870
1346898   ,1784891595
1346966   ,0974121755
1347191   ,1785874459
1347257   ,2421269402
1347359   ,1057727799
1347366   ,0762614090
1347368   ,3532183550
1347391   ,0877257515
1347691   ,1789451243
1347700   ,0873670459
1347827   ,4136719934
1347832   ,0761590442
1348053   ,3531143854
1348087   ,4128951790
1348187   ,2061797904
1348255   ,2503216096
1348264   ,2069655376
1348296   ,1788257931
1348455   ,1789133051
1348489   ,2062377040
1348598   ,2065970640
1348623   ,2049859184
1348632   ,2067405856
1348657   ,0029563840
1348762   ,2624076480
1348789   ,0974390107
1348932   ,2059533776
1338367   ,1788812379
1338524   ,0760508586
1338526   ,0867932651
1338660   ,1770822507
1338669   ,0974268299
1338935   ,0874608619
1338967   ,0874893035
1339101   ,0874559979
1339196   ,3536824654
1339486   ,1605324762
1339846   ,2674380139
1340213   ,1789949451
1340254   ,2667953483
1340277   ,0871061883
1340315   ,1768735051
1340656   ,0975874619
1340663   ,1790479579
1340695   ,1787051947
1340720   ,2669110699
1340722   ,1605532906
1349021   ,1767764027
1349125   ,2048338064
1349325   ,1784487803
1349568   ,2061125184
1350061   ,2061183328
1350234   ,2582040935
1350236   ,2048605376
1350609   ,2069269152
1350616   ,2069626960
1350741   ,2064740384
1350745   ,2067668752
1350785   ,2067025776
1342932   ,1766070203
1343119   ,2673396475
1343128   ,3532442190
1343425   ,2670923355
1343560   ,0311991546
1343592   ,0873343899
1343811   ,1766207643
1343888   ,0977328939
1344075   ,2053393568
1344343   ,2673258235
1344384   ,4131130414
1344418   ,0969484011
1344567   ,3531423198
1345074   ,2676073115
1345167   ,2675614715
1345292   ,2755075882
1345335   ,1782577035
1345472   ,2062722560
1345701   ,2674807419
1345754   ,1790461051
1332164   ,0965213083
1332352   ,3527833646
1332692   ,3535908590
1332851   ,2674239723
1332883   ,3926319227
1332885   ,1566136944
1333623   ,1785158107
1333698   ,2675523099
1334962   ,0868299899
1335747   ,0967458555
1335843   ,3247607651
1335898   ,0968114379
1335968   ,1766875691
1336800   ,1769846059
1336836   ,1785337291
1337026   ,0876518427
1337082   ,2676117995
1337155   ,0758392186
1337289   ,0311371034
1337346   ,0883610043
1337353   ,0969686235
1337469   ,1768546683
1337605   ,0255654570
1337637   ,0865827659
1337664   ,1788583339
1337698   ,2676361499
1337703   ,1781793051
1337762   ,1798376009
1337900   ,0643456852
1337966   ,2052769280
1338032   ,1779053227
1338260   ,2064815408
1338267   ,2058642640
1346325   ,1788668635
1346457   ,2674793691
1346489   ,1784721899
1346491   ,1057938487
1346559   ,3531879102
