EMP_CD,START_DATE,CLASS_CD
00932,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
00933,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
00935,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00936,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00937,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00938,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
00939,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
00942,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
00943K,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00958,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00962,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
00969,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00970,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
00983,2017/8/27 0:00:00,"317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,"
00992,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
01011,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
01012,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
01013,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
01014,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
01015,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
01028,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
01098,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
01461,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
