zgbh,icid
1331649   ,0977501227
1332021   ,4129369886
1332343   ,1761654283
1332758   ,0867903899
1332935   ,1783459595
1333194   ,4136359086
1333838   ,1790325947
1333957   ,3531861982
1334201   ,2504777440
1334212   ,0873636203
1334301   ,3741486257
1334303   ,4287634190
1334346   ,0311515386
1334369   ,2139796834
1334405   ,2669531851
1334466   ,0758668282
1334493   ,1112117566
1334525   ,2676650555
1334534   ,2675496587
1334566   ,2675251835
1334630   ,0969689019
1334657   ,0867847547
1334752   ,1790364459
1334848   ,2674256123
1334881   ,1785201787
1334946   ,2674485339
1335040   ,2669528059
1335138   ,0968818555
1335365   ,0873749499
1335372   ,2673870603
1335374   ,3504307706
1335400   ,4129753678
1335402   ,0873169243
1335459   ,0967339499
1335461   ,1767706347
1335710   ,4136724830
1335825   ,4135905646
1321618   ,2674750203
1321620   ,2676300091
1321625   ,2674966139
1321627   ,1789625691
1321629   ,2675313915
1325191   ,4134577022
1325419   ,0759041898
1325453   ,0774880837
1325682   ,0868198331
1325868   ,0873867355
1325875   ,0868502747
1325905   ,0869170027
1326162   ,2985733921
1326581   ,3247836963
1312391   ,0486728827
1312889   ,2669510427
1313368   ,2472593184
1315140   ,3533127294
1315622   ,3741852177
1317033   ,0311252154
1317035   ,3546703941
1317245   ,0867349195
1318567   ,1781136875
1318576   ,4131184526
1318599   ,2676948731
1318606   ,1125898814
1318608   ,0870196603
1318635   ,0762585226
1318642   ,4287943134
1319097   ,2669827867
1319586   ,0872768379
1320116   ,2676591131
1321152   ,1783754939
1336198   ,4138671038
1336586   ,0965742427
1336641   ,1767983963
1336901   ,0875956411
1337008   ,1790425019
1341029   ,3532024446
854658    ,2112619204
855492    ,0762526490
856024    ,3741421569
858046    ,3389824253
859199    ,0607575541
1301622   ,1789488955
1301692   ,1789419963
1302284   ,1604928538
1302316   ,0758298826
1302327   ,4130890878
1331521   ,0875015019
1331536   ,1765882379
1331538   ,1765188203
1332048   ,1783199915
1332116   ,1786076075
1332348   ,4139912910
1332889   ,4131090462
1333070   ,1790244331
1333737   ,2673829243
1334045   ,0760462122
1334164   ,1767289435
1334183   ,2674316731
1334230   ,0965072139
1334232   ,3503194042
1334281   ,1768148059
1334315   ,2675021099
1334317   ,2675516859
1334377   ,2674391387
1334486   ,1781364411
1334503   ,1778952219
1334522   ,1788295483
1334556   ,2675142747
1334620   ,1780561099
1334652   ,1779506315
1334669   ,0760327002
1334717   ,1781410091
1334845   ,1779795547
1335086   ,1790358763
1335101   ,4288873406
1335133   ,0312651322
1335202   ,3532495502
1335276   ,1766804347
1335341   ,4130296078
1335343   ,1801973482
1335345   ,1788094859
1335358   ,4289122414
1335360   ,1786004203
1335377   ,1782439659
1335456   ,0973601291
1335730   ,2673077307
1336049   ,1789618363
1315676   ,3521163822
1318564   ,0758047178
1318594   ,0869740459
1318628   ,0867505675
1319351   ,0874519579
1319649   ,1790475147
1319698   ,2671934267
1319712   ,1110002238
1320009   ,1786333547
1320952   ,1788518283
1301576   ,1789313003
1302328   ,1798791177
1303512   ,4137407262
1303580   ,1787820427
1304023   ,3783192164
1304191   ,3248099811
1304317   ,2672851115
1304402   ,0758361242
1305532   ,4135907086
1305564   ,4134243134
1305566   ,4137077678
1305583   ,4137397214
1305615   ,4138265406
1305649   ,4138361358
1305666   ,4135139710
1305888   ,0969087339
1305920   ,2469114672
1305939   ,2672070747
1306143   ,0311578970
1306232   ,2673861659
1306641   ,0965194667
1307028   ,3251576403
1307061   ,1783636411
1307136   ,1781058187
1307196   ,4129102590
1307228   ,3149582834
1307346   ,3530664542
1307522   ,1799819546
1307526   ,1771127963
1307676   ,3536544142
1307710   ,3149488082
1307961   ,2670923355
1308230   ,4198618855
1308330   ,0965537339
1308332   ,3207354098
1308635   ,4129605086
1308939   ,4130088174
1309038   ,3247460931
1309071   ,0310992362
1309803   ,3248148627
1310119   ,1604859306
1321630   ,1790556635
1321637   ,2669763531
1321961   ,1767448075
1321993   ,1766195211
1321995   ,1764033787
1325226   ,0968285899
1325408   ,3247501667
1325683   ,0874519307
1325762   ,0874140203
1325764   ,0873757579
1326009   ,0312262250
1331528   ,3509019690
1331546   ,0981497115
1332026   ,0973956779
1333129   ,0872886699
1333355   ,3744218609
1333730   ,3535359358
1333745   ,1798408505
1333987   ,3536949006
1334125   ,3521620446
1334157   ,2675982907
1334239   ,1770836443
1334325   ,3531442974
1334420   ,0760586682
1334421   ,0762004826
1334527   ,1785075707
1334579   ,2675495035
1334593   ,3532304830
1334611   ,1780146411
1334644   ,0873849931
1334708   ,1786763723
1334834   ,4136000062
1334835   ,2677623915
1334884   ,4134777902
1335075   ,3741471649
1335142   ,3530772446
1335178   ,2674982299
1335209   ,0872843675
1335210   ,0875082459
1335302   ,3538355365
1335351   ,0338634705
1335370   ,0873637675
1335384   ,0877299195
1335433   ,1766741979
1335447   ,2673010059
1335519   ,1764272619
1335705   ,0978241035
1335758   ,0966441019
1301536   ,4134918686
1331793   ,0968207723
1331822   ,0313197706
1331845   ,3532406510
1331854   ,3246565395
1331888   ,0761835306
1331918   ,3536958174
1331920   ,4137741358
1331945   ,0758459482
1331952   ,0761018826
1331977   ,0874414683
1331979   ,1766385659
1333366   ,1605612266
1333756   ,2674804331
1333786   ,1785307067
1322431   ,0173812034
1323729   ,2674294107
1325016   ,4138781950
1335832   ,0792315045
1335841   ,0973509467
1335843   ,3247607651
1335898   ,0968114379
1335900   ,0866735323
1335932   ,1782953019
1335934   ,4137763502
1335943   ,1766422059
1336009   ,0968421995
1337057   ,1976947377
1337059   ,1083334089
1337082   ,2676117995
1337084   ,0968555515
1337091   ,1789281739
1337093   ,4140830494
1337116   ,0876078315
1337118   ,0866040395
1337123   ,0884707067
1337125   ,1790223819
1337144   ,2674930331
1337146   ,1782135867
1337153   ,2675456411
1337155   ,0758392186
1337178   ,1125089342
1337180   ,0974517691
1337187   ,1058536071
1337189   ,2673644555
1337212   ,1767446283
1337214   ,0972584923
1337219   ,4129368910
1337221   ,1766636955
1337223   ,1606193114
1337244   ,2675862827
1337246   ,2945597874
1337248   ,0761732730
1337253   ,2674575483
1337255   ,0965236507
1337278   ,0759945130
1337280   ,2672965995
1337287   ,2673160011
1337289   ,0311371034
1337312   ,0874887099
1337314   ,0873305003
1337321   ,2674857275
1337323   ,1115433854
1337346   ,0883610043
1337348   ,1784751147
1337353   ,0969686235
1337355   ,3537185182
1337368   ,4129738222
1337370   ,1798567465
1337377   ,0865539323
1337379   ,0965892011
1337405   ,3535922670
1337428   ,0965582683
1337430   ,3251527219
1337435   ,1785760955
1337437   ,1785341563
1337460   ,2976408593
1337462   ,0969631947
1337464   ,2674406843
1337469   ,1768546683
1337471   ,2676176891
1337494   ,4287003886
1337496   ,1767428107
1337503   ,1767369755
1337505   ,2420333594
1337528   ,2672833259
1337530   ,2662419995
1337537   ,2676480251
1337539   ,1788967195
1337562   ,2502704336
1337564   ,1767021771
1337569   ,3530727182
1337571   ,0030219156
1337594   ,1778953899
1337596   ,0258529082
1337603   ,0312810986
1337605   ,0255654570
1337628   ,1782383515
1337630   ,1786203979
1337637   ,2673969691
1337639   ,0758675706
1337662   ,1781221499
1337664   ,1788583339
1337669   ,3716939150
1337671   ,2984755409
1337694   ,1766830299
1337696   ,1766754107
1337698   ,2676361499
1337703   ,1781793051
1337705   ,2676294075
1337728   ,4027125889
1331802   ,1787377147
1331804   ,1786339355
1331811   ,1768002075
1331904   ,4129771310
1331929   ,0873311675
1331938   ,1768289819
1333359   ,3740512267
1333793   ,0258915162
1333991   ,3302241066
1335038   ,1783165819
1335850   ,0034499121
1335857   ,1779165947
1335859   ,3530663518
1335893   ,0874141835
1335925   ,0866062459
1335927   ,2672496779
1335948   ,1787935787
1335950   ,1781221179
1336086   ,0872710155
1325291   ,3247926083
1316204   ,2673411355
1316540   ,4130885534
1317270   ,1785042203
1317744   ,4137919214
1318667   ,4138003662
1319955   ,4129124638
1337066   ,3207845666
1337068   ,1790299707
1337073   ,4129172334
1337075   ,0874253547
1337098   ,3740918401
1337100   ,3530684206
1337107   ,1110777694
1337109   ,2674581387
1337132   ,1781375099
1337134   ,1764430555
1337141   ,4136833646
1337162   ,0486566971
1337164   ,0258693402
1337169   ,1768589227
1337171   ,0873969643
1337194   ,2664821195
1337196   ,3246402323
1337203   ,1783607115
1337205   ,4129099934
1337228   ,3333676945
1337230   ,0968543499
1337237   ,3531018270
1337239   ,0759170538
